"method","path","group","path_parameters","bearer_capable","content_type","source_bundles"
"GET","/api/activity/comments/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/activity/comments/","activity","","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"GET","/api/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"PUT","/api/activity/comments/{comment_id}/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"PUT","/api/activity/comments/{comment_id}/ban/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/activity/comments/count/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/activity/ratings/","activity","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/activity/title-data/{title_id}/","activity","title_id","True",,"71280-e984758c9379dc61.js"
"PUT","/api/activity/title-data/{title_id}/","activity","title_id","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/activity/views/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/activity/views/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/activity/vote-post/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/activity/votes/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/activity/vote-similar/","activity","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v2/activity/active-gift/","activity","","True",,"71280-e984758c9379dc61.js"
"GET","/api/v2/activity/comments/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v2/activity/comments/","activity","","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/v2/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"GET","/api/v2/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"PUT","/api/v2/activity/comments/{comment_id}/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"PUT","/api/v2/activity/comments/{comment_id}/ban/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v2/activity/comments/count/","activity","","True",,"71280-e984758c9379dc61.js"
"GET","/api/v2/activity/notes/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v2/activity/notes/","activity","","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/v2/activity/notes/{note_id}/","activity","note_id","True",,"71280-e984758c9379dc61.js"
"PUT","/api/v2/activity/notes/{note_id}/","activity","note_id","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v2/activity/partner-gift-reward/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v2/activity/partner-gift-reward/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/v2/activity/random-reward/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/v2/activity/view-page/","activity","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/v2/activity/vote/","activity","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v3/activity/comments/","activity","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v3/activity/comments/","activity","","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/v3/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"GET","/api/v3/activity/comments/{comment_id}/","activity","comment_id","True",,"71280-e984758c9379dc61.js"
"PUT","/api/v3/activity/comments/{comment_id}/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/v3/activity/comments/{comment_id}/ban/","activity","comment_id","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/battlepass/check-access/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/battlepass/current/","battlepass","","True",,"71280-e984758c9379dc61.js"
"POST","/api/battlepass/current/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/battlepass/current/preview/","battlepass","","True",,"71280-e984758c9379dc61.js"
"POST","/api/battlepass/join/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/battlepass/manage/","battlepass","","True",,"71280-e984758c9379dc61.js"
"POST","/api/battlepass/manage-minigames/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/battlepass/tasks/","battlepass","","True",,"71280-e984758c9379dc61.js"
"POST","/api/battlepass/tasks/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"PUT","/api/battlepass/tasks/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v2/battlepass/levels/skip/","battlepass","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v2/battlepass/levels/skip/","battlepass","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/buy-chapter/","billing","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/billing/charge/","billing","","True",,"71280-e984758c9379dc61.js"
"POST","/api/billing/charge/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/donate/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-ckassa/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-cloudpayments/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-cryptocloud/","billing","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/billing/get-payment-monetaru/","billing","","True",,"71280-e984758c9379dc61.js"
"GET","/api/billing/get-payment-monetaru-foreign/","billing","","True",,"71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-payselection/","billing","","True",,"71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-payze/{signature}/","billing","signature","True",,"71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-robokassa/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-tinkoff/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-payment-yookassa/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/get-subscription-tinkoff/","billing","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/billing/premium/","billing","","True",,"71280-e984758c9379dc61.js"
"POST","/api/billing/premium/","billing","","True","application/json","71280-e984758c9379dc61.js"
"PUT","/api/billing/premium/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/promo-codes/","billing","","True","application/json","71280-e984758c9379dc61.js"
"POST","/api/billing/withdraw/","billing","","True","application/json","71280-e984758c9379dc61.js"
"DELETE","/api/billing/withdraw/{withdraw_id}/","billing","withdraw_id","True",,"71280-e984758c9379dc61.js"
"GET","/api/v2/billing/charge/","billing","","True",,"71280-e984758c9379dc61.js"
"POST","/api/v2/billing/charge/","billing","","True","application/json","71280-e984758c9379dc61.js"
"GET","/api/v2/billing/coins-exchange/","billing","","True",,"71280-e984758c9379dc61.js"
